history_bucket,n,Recall@10,Hit@10,NDCG@10,MRR@10,Recall@20,Hit@20,NDCG@20,MRR@20
0-2,110,0.11363636363636363,0.11363636363636363,0.061198202620995436,0.04549062049062049,0.15,0.15,0.07043953464028543,0.04805356213039861
3-10,81,0.10493827160493827,0.10493827160493827,0.06117629800664062,0.04779541446208113,0.1419753086419753,0.1419753086419753,0.07063092753889413,0.05043826453140179
11-25,124,0.07661290322580645,0.07661290322580645,0.05304972582448797,0.04606854838709678,0.13306451612903225,0.13306451612903225,0.06729208176036733,0.049968529038706556
26-50,762,0.08530183727034121,0.08530183727034121,0.04847490556207526,0.03715811565221014,0.1410761154855643,0.1410761154855643,0.062343027986917994,0.04084147769577184
