is_synthetic,relationship_label,n,mean_abs_delta_ndcg_LTP,mean_abs_delta_ndcg_STI,mean_delta_ndcg_LTP,mean_delta_ndcg_STI,overlap10_noLTP,overlap10_noSTI,STI_driven,LTP_driven,Jointly_driven,Neither_driven
False,Complement,744,0.04697852524413593,0.07445805284226509,-0.003072034643328891,0.06574064504106081,0.6353494623655914,0.10185483870967743,0.6741935483870968,0.0016129032258064516,0.3241935483870968,0.0
False,Conflict,292,0.045410324077021585,0.07210682598137816,-0.004900079237399956,0.06616051304667121,0.6490410958904109,0.0723972602739726,0.6671232876712329,0.0006849315068493151,0.3321917808219178,0.0
False,Consistent,2070,0.03531726830490897,0.055031196637896525,-0.0005786356107348777,0.03819321679656812,0.619207729468599,0.17598067632850242,0.5849275362318841,0.001932367149758454,0.4131400966183575,0.0
False,Override,39,0.047571075852164274,0.08668586556341216,-0.0018318680463230606,0.08668586556341216,0.6917948717948719,0.09179487179487181,0.717948717948718,0.005128205128205128,0.27692307692307694,0.0
False,Uncertain,1327,0.017761225220461002,0.04901987956569917,0.0006314624887240657,0.03810648829945924,0.7145591559909571,0.21620195930670685,0.5736247174076865,0.008289374529012811,0.4180859080633007,0.0
True,Complement,134,0.054895844345564083,0.1399578982793924,-0.00504717635368375,0.13411856619234416,0.6846268656716418,0.08388059701492538,0.8104477611940298,0.0,0.18955223880597014,0.0
True,Conflict,112,0.07116603112060571,0.1449828132094269,0.010084469179859584,0.1449828132094269,0.7273214285714286,0.02982142857142857,0.8142857142857143,0.0,0.18571428571428572,0.0
True,Consistent,123,0.03580130177526477,0.07038840252178344,-0.003677228754010709,0.04500864256769923,0.5980487804878049,0.2105691056910569,0.5333333333333333,0.0,0.4666666666666667,0.0
True,Override,114,0.047877506718605134,0.09857759035683877,0.0028304019016095992,0.09113057927034326,0.7412280701754386,0.04175438596491228,0.843859649122807,0.0,0.156140350877193,0.0
True,Uncertain,141,0.02838791484822426,0.02948889332193929,0.008236984643344731,0.01182727008871047,0.5201418439716312,0.3804255319148936,0.14609929078014183,0.03971631205673759,0.8141843971631205,0.0
