sti_bucket,n,Recall@10,Hit@10,NDCG@10,MRR@10,Recall@20,Hit@20,NDCG@20,MRR@20
1,499,0.12905811623246494,0.12905811623246494,0.07369753956902231,0.05696679072430576,0.19278557114228456,0.19278557114228456,0.08969145882250824,0.06129668904850848
2-3,1490,0.1276510067114094,0.1276510067114094,0.06451659394889792,0.04557627570043677,0.19503355704697986,0.19503355704697986,0.0814463143649497,0.05016823058747031
4-6,1716,0.1148018648018648,0.1148018648018648,0.060093786583090586,0.043596819846819845,0.18053613053613055,0.18053613053613055,0.0766211888475803,0.04808460282155318
>6,767,0.09204693611473272,0.09204693611473272,0.04468711060446335,0.030433351958775688,0.1408083441981747,0.1408083441981747,0.05699502958517992,0.03380046561939143
