subset,model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
strict,LTP-only,331,5,0.03504531722054381,0.0030809785580621055,0.026570996978851964,0.044108761329305135,0.03504531722054381,0.0030809785580621055,0.026570996978851964,0.044108761329305135,0.01835017675818209,0.0022170418421458347,0.013180860531047797,0.023650491035697684,0.013314151441039656,0.0024948611239916305,0.008991535990025416,0.017864755670646906,0.05679758308157099,0.00616195711612421,0.045921450151057405,0.06768882175226584,0.05679758308157099,0.00616195711612421,0.045921450151057405,0.06768882175226584,0.02382134038462217,0.00193147002359349,0.018558032506852534,0.029222158119517443,0.014799372661816893,0.0023687034745711938,0.010453043339428179,0.01945712760607406
strict,STI-only,331,5,0.1691842900302115,0.00330950185803726,0.15166163141993957,0.18672205438066464,0.1691842900302115,0.00330950185803726,0.15166163141993957,0.18672205438066464,0.08815202378472127,0.0041002699625555935,0.07837238721732809,0.09805231287702001,0.06385364216179926,0.004892916293385613,0.05512836282549274,0.07284909845106217,0.2598187311178247,0.008328730363800742,0.23987915407854984,0.2803776435045317,0.2598187311178247,0.008328730363800742,0.23987915407854984,0.2803776435045317,0.11110910817952127,0.003913847397861039,0.10095599978196439,0.1217516931992659,0.0701782617782543,0.0045985973584133704,0.061447286296668506,0.07935575168373622
strict,Naive fusion,331,5,0.14803625377643503,0.0042725485268069255,0.13172205438066464,0.16495468277945619,0.14803625377643503,0.0042725485268069255,0.13172205438066464,0.16495468277945619,0.07740164403342746,0.00639662524641261,0.06781891047052918,0.08817341848906907,0.056136527118400226,0.007648392206372639,0.047313827746607195,0.06545076847456001,0.24592145015105737,0.01887673637681366,0.22657099697885197,0.26706948640483386,0.24592145015105737,0.01887673637681366,0.22657099697885197,0.26706948640483386,0.10203217742564852,0.010016191073495877,0.09193220958488102,0.11236851404457504,0.06284012165567729,0.0085359865319539,0.05402749702680722,0.07185967779043397
strict,Adaptive fusion,331,5,0.1619335347432024,0.007546825375708041,0.14441087613293052,0.18006042296072508,0.1619335347432024,0.007546825375708041,0.14441087613293052,0.18006042296072508,0.08225290173613883,0.004313646524866908,0.07231181737552342,0.09251787247303099,0.058247254591665465,0.005136430257544753,0.05005469237040234,0.0669511700954299,0.25317220543806646,0.012441849112975214,0.23382175226586102,0.2731117824773414,0.25317220543806646,0.012441849112975214,0.23382175226586102,0.2731117824773414,0.10505941042295042,0.006020123839593534,0.09525813991178278,0.11510538876347146,0.06436292976772151,0.005626636289855195,0.05628711265079912,0.07297114935373963
strict,Sequential (GRU),331,5,0.08519637462235649,0.0048338368580060406,0.07069486404833837,0.09850453172205437,0.08519637462235649,0.0048338368580060406,0.07069486404833837,0.09850453172205437,0.044244202938080644,0.003964699587594805,0.03656472794196886,0.0531306726954005,0.03200115091353762,0.004163075086920527,0.0255642293674771,0.039576601688006516,0.1323262839879154,0.011206789722653418,0.11599697885196375,0.14803625377643503,0.1323262839879154,0.011206789722653418,0.11599697885196375,0.14803625377643503,0.05606945966913118,0.004844043401218785,0.04793516497454425,0.06478638626641445,0.03519790053775631,0.004232810122074,0.028786502288337894,0.04269346557248753
strict,Conversation-aware,331,5,0.16193353474320243,0.007300934123017875,0.14318731117824773,0.17945619335347432,0.16193353474320243,0.007300934123017875,0.14318731117824773,0.17945619335347432,0.08147327057825612,0.005187062494866367,0.07136760031779305,0.09121793180465411,0.05738958423248454,0.0044257999705515855,0.04929012612094183,0.06555329568886971,0.2404833836858006,0.018779782801111842,0.22054380664652568,0.2610271903323263,0.2404833836858006,0.018779782801111842,0.22054380664652568,0.2610271903323263,0.10148834532604929,0.006080993952857619,0.09202344066188672,0.11149712452994268,0.06296856206979391,0.004379134082827778,0.055005377400276174,0.0709955127223613
strict,SASRec,331,5,0.07069486404833838,0.01003821614854148,0.058595166163142,0.08277945619335347,0.07069486404833838,0.01003821614854148,0.058595166163142,0.08277945619335347,0.03318423416784405,0.0045834447135886395,0.02696624223447813,0.03963312782604037,0.022038315829856613,0.002993113121679182,0.017289328873543373,0.02763174363400949,0.10996978851963746,0.007046467546640847,0.09486404833836858,0.12447129909365559,0.10996978851963746,0.007046467546640847,0.09486404833836858,0.12447129909365559,0.04297660141452507,0.003426691416123711,0.0364787011298172,0.049601492630043514,0.024652971623452296,0.002659479664750279,0.01996185521249416,0.030093986455832653
strict,KBRD-style,331,5,0.1716012084592145,0.004833836858006039,0.15226586102719034,0.18972809667673715,0.1716012084592145,0.004833836858006039,0.15226586102719034,0.18972809667673715,0.09136472571217732,0.0034119604918922243,0.08008357844862872,0.10177790020525644,0.06709490241212294,0.004873459610214596,0.0572330240253201,0.07698472042391981,0.26525679758308157,0.008415944578358979,0.24410876132930515,0.2845921450151057,0.26525679758308157,0.008415944578358979,0.24410876132930515,0.2845921450151057,0.11487440771181975,0.003621407964079747,0.10414890419011709,0.12552654288273865,0.07345788286200117,0.004904682205060783,0.06395001371269983,0.0831302778331361
strict,AIPA w/o relationship,331,5,0.1528700906344411,0.01232391423224842,0.13595166163141995,0.1691842900302115,0.1528700906344411,0.01232391423224842,0.13595166163141995,0.1691842900302115,0.0745390340764627,0.002760876218447865,0.06540004838783761,0.08341645755586156,0.05113317028724883,0.0015975563452864977,0.04362137342348822,0.05888010717882318,0.23625377643504533,0.02061476992052203,0.2181117824773414,0.2555891238670695,0.23625377643504533,0.02061476992052203,0.2181117824773414,0.2555891238670695,0.09555404541864333,0.005822387476297276,0.08608529850995685,0.10540994799728216,0.056867250453764714,0.0026983797931122134,0.04926279434414437,0.06460385359188299
strict,AIPA w/o counterfactual,331,5,0.15287009063444107,0.006220924556487609,0.13654078549848944,0.16919939577039275,0.15287009063444107,0.006220924556487609,0.13654078549848944,0.16919939577039275,0.07509923158740656,0.003948211372524297,0.0660554006217486,0.08430944755049366,0.05171078501894212,0.0037148362836136118,0.04383291972378076,0.059393180837289596,0.23867069486404838,0.019764866747789874,0.2199395770392749,0.2598187311178248,0.23867069486404838,0.019764866747789874,0.2199395770392749,0.2598187311178248,0.09680448531832056,0.006432838819597851,0.08770812071726512,0.10590995542650651,0.05767530689722098,0.004179005145062558,0.04985601544838203,0.06519351257373528
strict,AIPA w/o clarification,331,5,0.14682779456193354,0.006782460519831911,0.1299093655589124,0.16314199395770393,0.14682779456193354,0.006782460519831911,0.1299093655589124,0.16314199395770393,0.07421824194569525,0.0043185012501709835,0.06452060344442191,0.0836743297881348,0.05251258811681773,0.0050246549122658505,0.04425818227593152,0.060663082050544284,0.23323262839879155,0.015686712973712595,0.21329305135951662,0.2531873111782477,0.23323262839879155,0.015686712973712595,0.21329305135951662,0.2531873111782477,0.0962839238619676,0.0036254975778754685,0.08625994625840606,0.10597422035078197,0.05868192006991779,0.004465437982611641,0.05004573580431346,0.06660869591676416
strict,AIPA w/o persistence,331,5,0.14441087613293052,0.012294253745846407,0.12870090634441086,0.16074018126888218,0.14441087613293052,0.012294253745846407,0.12870090634441086,0.16074018126888218,0.07260746057828757,0.004195355653045055,0.06319566673539626,0.08173875443560175,0.05110943269553542,0.001964789152309728,0.04327741811729727,0.05929205629885388,0.2338368580060423,0.017047415081167232,0.21450151057401812,0.25498489425981874,0.2338368580060423,0.017047415081167232,0.21450151057401812,0.25498489425981874,0.09504108110480529,0.005411931632471374,0.08592490100630078,0.10473106889396472,0.057173771732244506,0.002261538035460056,0.04948429594489476,0.06526193851912193
strict,AIPA (rule policy),331,5,0.14380664652567976,0.01639233832779521,0.1268882175226586,0.16012084592145015,0.14380664652567976,0.01639233832779521,0.1268882175226586,0.16012084592145015,0.06991114498449115,0.006020229966009333,0.06059034317548649,0.07859147195862047,0.0476084975782861,0.004853469157948986,0.04004813456097444,0.05494091977173547,0.22477341389728095,0.015238090891744398,0.20483383685800605,0.24351963746223565,0.22477341389728095,0.015238090891744398,0.20483383685800605,0.24351963746223565,0.09017282158327047,0.005995453173691385,0.0808150827776407,0.09908403400330534,0.05305826616740631,0.0049213401512893055,0.04550070125143958,0.06050198317226824
strict,AIPA (full),331,5,0.14984894259818732,0.010909649598349115,0.13353474320241693,0.16617824773413897,0.14984894259818732,0.010909649598349115,0.13353474320241693,0.16617824773413897,0.0749151741546979,0.0037131806644552213,0.06586359608082022,0.08415666333922492,0.05251258811681773,0.003145298421327006,0.044526596892533445,0.060898168129285946,0.23202416918429,0.015452219761382979,0.21329305135951662,0.2531873111782477,0.23202416918429,0.015452219761382979,0.21329305135951662,0.2531873111782477,0.09548471646664068,0.004185170286352403,0.08636503063866262,0.10520551499072081,0.05804539776526345,0.002889763921227194,0.05007480016333243,0.06649573533092024
broad,LTP-only,1272,5,0.04135220125786164,0.0035368622261641503,0.036788522012578616,0.04591194968553459,0.04135220125786164,0.0035368622261641503,0.036788522012578616,0.04591194968553459,0.0203637447912983,0.0015935865392349327,0.01789629518019241,0.022980043087176844,0.014027403414195866,0.0014702800098746014,0.011995752533193571,0.016182053009883197,0.06713836477987421,0.0035017385929748557,0.0610062893081761,0.07327437106918239,0.06713836477987421,0.0035017385929748557,0.0610062893081761,0.07327437106918239,0.02681870737534111,0.0016132121477310344,0.024186251310459303,0.029637508591020465,0.015764161593010386,0.0015132156855325062,0.013697397514186424,0.017949087826245973
broad,STI-only,1272,5,0.1639937106918239,0.007317658036616411,0.15455974842767295,0.17295597484276728,0.1639937106918239,0.007317658036616411,0.15455974842767295,0.17295597484276728,0.08317600463569937,0.00326418554072388,0.07765310636245042,0.08838813422218049,0.05883379504841768,0.0029668103484632863,0.05436886043725665,0.06321561938454627,0.2509433962264151,0.0019512065481117691,0.239937106918239,0.26132075471698113,0.2509433962264151,0.0019512065481117691,0.239937106918239,0.26132075471698113,0.10514652528083986,0.0026551019324296387,0.0996723863398966,0.11033896917058215,0.06485868199689467,0.0028901956161128473,0.06043458988324252,0.0693178660056955
broad,Naive fusion,1272,5,0.14874213836477987,0.002300116169548395,0.13946147798742137,0.15708333333333332,0.14874213836477987,0.002300116169548395,0.13946147798742137,0.15708333333333332,0.07617922548456836,0.00229666839212356,0.07110550237623615,0.08119934547471029,0.0543303883398223,0.002862966534644092,0.050084228686233405,0.058570403751123094,0.2366352201257862,0.008048103076773411,0.2265683962264151,0.24701650943396225,0.2366352201257862,0.008048103076773411,0.2265683962264151,0.24701650943396225,0.09842965942023066,0.004278875570197546,0.0931535629315387,0.10359818323529496,0.060451349969849154,0.0034286929755061204,0.05605944930519827,0.06475245114517769
broad,Adaptive fusion,1272,5,0.1539308176100629,0.00485642931178632,0.14481132075471698,0.1619575471698113,0.1539308176100629,0.00485642931178632,0.14481132075471698,0.1619575471698113,0.07631510651997589,0.0012919243018146016,0.07110161221524174,0.0808752157920001,0.052981431566337236,0.000772797665011377,0.048703451008285915,0.056950192485275046,0.23553459119496853,0.004408127600275529,0.22468553459119497,0.24528301886792453,0.23553459119496853,0.004408127600275529,0.22468553459119497,0.24528301886792453,0.09680964932974896,0.0015517789402368185,0.09163422182765284,0.10163967277377227,0.05853653393344307,0.0010650383579841527,0.05422580720441239,0.0624558130339823
broad,Sequential (GRU),1272,5,0.08144654088050315,0.00532273927038074,0.07452437106918239,0.08867924528301886,0.08144654088050315,0.00532273927038074,0.07452437106918239,0.08867924528301886,0.041368785878902005,0.002292375625036539,0.03758141743175499,0.04511637887624985,0.029385794149945094,0.0017624721598492334,0.026236268655785162,0.032587892769791356,0.13018867924528305,0.009176249346801805,0.12185534591194969,0.13852201257861635,0.13018867924528305,0.009176249346801805,0.12185534591194969,0.13852201257861635,0.053520787533079275,0.00306374770449595,0.04956427943897432,0.057427797811071525,0.03263151483652097,0.0018925282403490981,0.029460005824745384,0.03587474390532944
broad,Conversation-aware,1272,5,0.15220125786163521,0.0012773645290308111,0.14354952830188678,0.16084905660377358,0.15220125786163521,0.0012773645290308111,0.14354952830188678,0.16084905660377358,0.0771666975697144,0.001923950008048403,0.07222895165735879,0.08222157070732088,0.054656895777178804,0.0022689548479464046,0.05025120576270341,0.05894072264650095,0.22845911949685532,0.008734556234170533,0.21839229559748427,0.23821147798742137,0.22845911949685532,0.008734556234170533,0.21839229559748427,0.23821147798742137,0.09655868951458839,0.0017637583880052365,0.09146491118498729,0.10137109697893103,0.06003729592423076,0.0018835937525691032,0.05564766453352236,0.0641939633449469
broad,SASRec,1272,5,0.07327044025157232,0.008703366354149714,0.06666666666666667,0.0800314465408805,0.07327044025157232,0.008703366354149714,0.06666666666666667,0.0800314465408805,0.03511188534814056,0.004284430798073878,0.031698897152937056,0.038340850060303376,0.023670010981331736,0.0030737469083159464,0.020861905073874417,0.026107111660177696,0.11745283018867925,0.0048615172433145604,0.1089622641509434,0.12547169811320755,0.11745283018867925,0.0048615172433145604,0.1089622641509434,0.12547169811320755,0.04618750699865894,0.003197348916859014,0.04263482649910138,0.049808988436784815,0.026658327346196088,0.0027874806955115895,0.023849790778899607,0.029112835212498325
broad,KBRD-style,1272,5,0.16336477987421383,0.0035992211139181116,0.15424528301886792,0.17233097484276727,0.16336477987421383,0.0035992211139181116,0.15424528301886792,0.17233097484276727,0.0846058271023192,0.002066898140055008,0.07948630066932134,0.09003183926327818,0.06079452430867525,0.0022713103010493017,0.05628747691424578,0.06567593840471198,0.24654088050314468,0.003933961007294597,0.23632075471698114,0.25660377358490566,0.24654088050314468,0.003933961007294597,0.23632075471698114,0.25660377358490566,0.1054530136559908,0.0016585942878915548,0.09992485758420963,0.11091229872625757,0.06642212250545827,0.0021219186365431394,0.061754395556515095,0.07121452520563476
broad,AIPA w/o relationship,1272,5,0.14544025157232704,0.010476937892426213,0.13679245283018868,0.15409591194968553,0.14544025157232704,0.010476937892426213,0.13679245283018868,0.15409591194968553,0.07273445381512482,0.005202606734359434,0.06789488788035891,0.07778308432714301,0.05090115553558949,0.004100591031638667,0.046799183575421774,0.05524950552810222,0.22924528301886796,0.00971285862357264,0.2190251572327044,0.23962264150943396,0.22924528301886796,0.00971285862357264,0.2190251572327044,0.23962264150943396,0.09382193481728351,0.00535605939175343,0.08883059631866945,0.09868552800567668,0.056635889050074315,0.00422743916624884,0.05253620756385822,0.06089549766240733
broad,AIPA w/o counterfactual,1272,5,0.14591194968553461,0.007484673104032642,0.13773584905660377,0.15424528301886792,0.14591194968553461,0.007484673104032642,0.13773584905660377,0.15424528301886792,0.07413199546866223,0.005281510561111857,0.06912047081157006,0.07906153882985426,0.05258005141259858,0.004695539063557786,0.048339051737047015,0.056911171321253874,0.22845911949685535,0.007468139677382336,0.2177633647798742,0.23805424528301886,0.22845911949685535,0.007468139677382336,0.2177633647798742,0.23805424528301886,0.09492854784437366,0.0049490606467378845,0.08993537101528239,0.0999093112023969,0.05824959414213313,0.004564078569853306,0.054114445399625156,0.06262919556233135
