seed,alpha_ltp,Hit@10,Recall@10,NDCG@10,MRR@10,Hit@20,Recall@20,NDCG@20,MRR@20,Hit@10_synthetic
42,0.0,0.08170844939647168,0.08170844939647168,0.04361556552513862,0.032070640078996626,0.12906220984215414,0.12906220984215414,0.05578441818685201,0.0355095146186887,0.128
42,0.25,0.08542246982358404,0.08542246982358404,0.045323479055478934,0.03325153645487908,0.13556174558960074,0.13556174558960074,0.05794332430669249,0.036687034310830195,0.144
42,0.5,0.07985143918291551,0.07985143918291551,0.043108716904432354,0.03205258581303149,0.1309192200557103,0.1309192200557103,0.05599852800330648,0.035581193981937355,0.136
42,0.75,0.07149489322191271,0.07149489322191271,0.03828535879925508,0.028340039203548953,0.1095636025998143,0.1095636025998143,0.047945212400026985,0.031013407022293934,0.112
42,1.0,0.02414113277623027,0.02414113277623027,0.012676779897923096,0.009214676275957612,0.0436397400185701,0.0436397400185701,0.017579794905996957,0.010544431036402199,0.0
7,0.0,0.0807799442896936,0.0807799442896936,0.04560921940219658,0.035037803422204535,0.12163416898792943,0.12163416898792943,0.0559549511168761,0.03788358969988799,0.112
7,0.25,0.09006499535747446,0.09006499535747446,0.04846889916107024,0.0359368321763865,0.12999071494893222,0.12999071494893222,0.0585653352510195,0.03870957278459628,0.12
7,0.5,0.09377901578458682,0.09377901578458682,0.052295347867238835,0.03975770438165982,0.1327762302692665,0.1327762302692665,0.06207338292869087,0.04239543826222509,0.128
7,0.75,0.08263695450324977,0.08263695450324977,0.042782093288102396,0.030886796067854563,0.11513463324048283,0.11513463324048283,0.05113437713524187,0.033247796266523036,0.112
7,1.0,0.02042711234911792,0.02042711234911792,0.010673303701689826,0.007765545091450384,0.05385329619312906,0.05385329619312906,0.019196912337312667,0.010144346534344552,0.024
