split,k,n_shifts_mean,n_seekers_shifted_mean,n_multi_session_mean,n_seekers_multi_session_mean,n_affected_mean,hit10_multi_without_mean,hit10_multi_with_mean,hit10_affected_without_mean,hit10_affected_with_mean,n_rank_changed_mean,n_shifts_std,n_seekers_shifted_std,n_multi_session_std,n_seekers_multi_session_std,n_affected_std,hit10_multi_without_std,hit10_multi_with_std,hit10_affected_without_std,hit10_affected_with_std,n_rank_changed_std,seeds,hit10_multi_delta_mean
test,1,182.8,90.0,4261.0,51.0,4255.4,0.115935226472659,0.11551279042478291,0.11590008425716865,0.11542959583924714,3877.4,13.105723940324697,0.0,0.0,0.0,3.611094017053502,0.0038989081731603307,0.002193536061121414,0.003921598815048637,0.0024176463498153003,64.12051153882042,5,-0.00042243604787609024
test,2,32.4,20.2,4261.0,51.0,1660.2,0.115935226472659,0.11626378784322929,0.1149182579341799,0.11618373118267145,1528.6,7.364781055808787,2.925747767665558,0.0,0.0,298.9002509199348,0.0038989081731603307,0.0032335704575733094,0.0036579549953236496,0.002737078537726183,286.5027748556722,5,0.0003285613705702878
test,3,10.4,7.4,4261.0,51.0,611.0,0.115935226472659,0.115935226472659,0.11738275766383506,0.11752090723199635,565.8,4.127953488110059,2.870540018881465,0.0,0.0,282.9819782247626,0.0038989081731603307,0.0035499029150319753,0.007932369543548149,0.009689639003548363,264.35007092868346,5,0.0
valid,1,167.8,126.0,2929.0,148.0,1291.2,0.15670877432570843,0.15595766473199044,0.16719558445649058,0.16703468757627882,1142.0,16.9162643630324,9.715966241192895,0.0,0.0,117.059642917617,0.003495113388069564,0.002743231058600313,0.0027936736660463513,0.0063463783914111645,114.23309502941778,5,-0.0007511095937179912
valid,2,7.2,7.0,2929.0,148.0,89.6,0.15670877432570843,0.15643564356435644,0.17352660601047698,0.16479652605459055,77.4,3.655133376499413,3.5777087639996634,0.0,0.0,39.342597778997764,0.003495113388069564,0.0034710181023253897,0.014053431098068942,0.013535895717185272,36.29655631048213,5,-0.00027313076135199177
valid,3,0.2,0.2,2929.0,148.0,0.6,0.15670877432570843,0.15670877432570843,0.3333333333333333,0.3333333333333333,0.6,0.4,0.4,0.0,0.0,1.2,0.003495113388069564,0.003495113388069564,0.0,0.0,1.2,5,0.0
