target_genre,model,n,seeds,Hit@10_mean,Hit@10_std,NDCG@10_mean,NDCG@10_std
Action,LTP-only,1341,5,0.08978374347501865,0.016585013863848443,0.051014118993172354,0.008120289248852896
Action,STI-only,1341,5,0.15093214019388518,0.013109271852853526,0.08264605854799605,0.007482736212780045
Action,Naive fusion,1341,5,0.15018642803877702,0.002191937130007313,0.08226386133777105,0.0026191616634783344
Action,Adaptive fusion,1341,5,0.14809843400447428,0.010843382985410016,0.07971393921415973,0.006608945946151394
Action,Sequential (GRU),1341,5,0.12602535421327368,0.010343648551468873,0.06808851547205404,0.00786855225407898
Action,Conversation-aware,1341,5,0.15704697986577182,0.0070207918245726,0.0853708530413683,0.005029977922611188
Action,SASRec,1341,5,0.12110365398956002,0.01054174320481568,0.06030411775622058,0.00423864545027284
Action,KBRD-style,1341,5,0.1552572706935123,0.006490695047573138,0.08310516519364944,0.004007390692199989
Action,AIPA w/o relationship,1341,5,0.14258016405667412,0.006873508499211281,0.07676722991074103,0.005525940187930315
Action,AIPA w/o counterfactual,1341,5,0.1464578672632364,0.009017877081480071,0.0783819659793377,0.008369555138723974
Action,AIPA w/o clarification,1341,5,0.1536167039522744,0.005659557333634688,0.08471005391376611,0.0029933019533082976
Action,AIPA w/o persistence,1341,5,0.14332587621178225,0.008815819064060645,0.07603754130679269,0.004669026084224136
Action,AIPA (rule policy),1341,5,0.14973900074571217,0.013906282118944124,0.0822720883896618,0.009148969472407394
Action,AIPA (full),1341,5,0.14317673378076062,0.010289746941482674,0.07582845347858744,0.004662016779935458
Adventure,LTP-only,936,5,0.1534188034188034,0.018975032713071226,0.08784392545497245,0.009365162761122063
Adventure,STI-only,936,5,0.23397435897435895,0.014141360775875465,0.13294708478881073,0.005567913763724001
Adventure,Naive fusion,936,5,0.22094017094017096,0.008948885295458089,0.12308841897215084,0.005228010611002386
Adventure,Adaptive fusion,936,5,0.22286324786324788,0.024274482344566,0.12613506135348523,0.013882204579266566
Adventure,Sequential (GRU),936,5,0.19401709401709402,0.010081304369303804,0.10903391309271189,0.005214872600700927
Adventure,Conversation-aware,936,5,0.22350427350427352,0.01329945839281661,0.12897008428471163,0.006795561233566108
Adventure,SASRec,936,5,0.17051282051282052,0.008563019192099942,0.08907773184978238,0.006263362113497207
Adventure,KBRD-style,936,5,0.21901709401709404,0.009838345669419943,0.12232539873836171,0.008111145146863502
Adventure,AIPA w/o relationship,936,5,0.21196581196581196,0.008509533227239269,0.11908591398645445,0.0029321842953855606
Adventure,AIPA w/o counterfactual,936,5,0.20811965811965813,0.01493282496551808,0.11520635040766244,0.009178559591048858
Adventure,AIPA w/o clarification,936,5,0.22072649572649575,0.014874619046117194,0.12550609895280546,0.007001736603404034
Adventure,AIPA w/o persistence,936,5,0.21153846153846154,0.018566396577973043,0.1169092698771252,0.0101959049022567
Adventure,AIPA (rule policy),936,5,0.21730769230769229,0.014454303013066466,0.12134566627528418,0.008725694069114519
Adventure,AIPA (full),936,5,0.2128205128205128,0.021200199580875996,0.11689167874765136,0.010596548168229577
Comedy,LTP-only,1754,5,0.020524515393386546,0.006440146520612515,0.008568638987554297,0.002642390527888327
Comedy,STI-only,1754,5,0.1031927023945268,0.007891656316076752,0.04978287310293844,0.00493723670193566
Comedy,Naive fusion,1754,5,0.10136830102622577,0.0030038631407798134,0.04925354337175014,0.002674731792503094
Comedy,Adaptive fusion,1754,5,0.09920182440136831,0.009242364483082983,0.04536447709327092,0.004726227095099357
Comedy,Sequential (GRU),1754,5,0.05450399087799316,0.006061588989738661,0.02357920512861563,0.0027214059327258272
Comedy,Conversation-aware,1754,5,0.09612314709236032,0.00698816576786525,0.04583628583616482,0.003606424616457346
Comedy,SASRec,1754,5,0.06431014823261118,0.0032532138238739136,0.028807667675340536,0.0014874289080202018
Comedy,KBRD-style,1754,5,0.1015963511972634,0.00787846507189268,0.04848834691080285,0.004317998692169531
Comedy,AIPA w/o relationship,1754,5,0.09213226909920183,0.004845730755045789,0.04355157190607818,0.0038479703281388343
Comedy,AIPA w/o counterfactual,1754,5,0.09395667046750286,0.004720693624739898,0.04513538409692207,0.002810635277801244
Comedy,AIPA w/o clarification,1754,5,0.09612314709236032,0.005639344592418808,0.04512445022124883,0.0027801680099390613
Comedy,AIPA w/o persistence,1754,5,0.09578107183580388,0.00849467755173965,0.0450678933096866,0.0049707625292366
Comedy,AIPA (rule policy),1754,5,0.0974914481185861,0.007842074738448983,0.04518588321100642,0.0026347339775970743
Comedy,AIPA (full),1754,5,0.09760547320410491,0.009031765723289786,0.04560157831012162,0.004991011308573473
Crime,LTP-only,688,5,0.029069767441860468,0.012637828557723349,0.012464468854582373,0.0068657611966615045
Crime,STI-only,688,5,0.09651162790697675,0.008303986544817265,0.047203697328175684,0.005737349302598211
Crime,Naive fusion,688,5,0.10203488372093024,0.007261625579533026,0.04983741708805856,0.003184297152723883
Crime,Adaptive fusion,688,5,0.09709302325581395,0.00983228751470219,0.04515458565366294,0.0060943484299404976
Crime,Sequential (GRU),688,5,0.05465116279069767,0.015804973510544402,0.023485434003550458,0.005868134671608707
Crime,Conversation-aware,688,5,0.10348837209302326,0.014104080779893264,0.04982371578343181,0.00909830273258672
Crime,SASRec,688,5,0.04970930232558139,0.01558421529497699,0.021004354790771385,0.006034341300145509
Crime,KBRD-style,688,5,0.11889534883720929,0.002964546228833014,0.05834531529554997,0.003529721655829354
Crime,AIPA w/o relationship,688,5,0.10377906976744186,0.01013697428730389,0.050095498167382915,0.006972813799277494
Crime,AIPA w/o counterfactual,688,5,0.10552325581395347,0.009128092132620684,0.05139754420215672,0.007972733810081666
Crime,AIPA w/o clarification,688,5,0.10494186046511629,0.016064827767032677,0.0507864047056303,0.011802429036922716
Crime,AIPA w/o persistence,688,5,0.11220930232558139,0.008691811853329099,0.0549121359365185,0.0061522962886375624
Crime,AIPA (rule policy),688,5,0.10872093023255813,0.010497366328644064,0.05263091662985172,0.0056158600833985575
Crime,AIPA (full),688,5,0.11220930232558139,0.009482271180407028,0.05514901069541852,0.006590439222402482
Drama,LTP-only,1309,5,0.014056531703590527,0.0032982479976963954,0.005425308864318742,0.0014850272566725754
Drama,STI-only,1309,5,0.08464476699770818,0.011529197543109845,0.04049486699435008,0.005093731588891993
Drama,Naive fusion,1309,5,0.07960275019098548,0.008661902388423754,0.03850176566281081,0.004365029068793946
Drama,Adaptive fusion,1309,5,0.0881588999236058,0.0030786007149900554,0.04158158405802943,0.0018100216967870575
Drama,Sequential (GRU),1309,5,0.0453781512605042,0.004773261834014761,0.021125170812292912,0.0019349444664013829
Drama,Conversation-aware,1309,5,0.08586707410236823,0.0057290552358296954,0.040922633205741264,0.003520742818257553
Drama,SASRec,1309,5,0.038808250572956456,0.005865959914576766,0.01706012700056791,0.0026359084949135257
Drama,KBRD-style,1309,5,0.09289533995416348,0.008771703648224494,0.04530896320450438,0.005007131084162711
Drama,AIPA w/o relationship,1309,5,0.08082505729564553,0.0070580959281595695,0.03912733604652814,0.003980142682661048
Drama,AIPA w/o counterfactual,1309,5,0.07990832696715049,0.007769706423279525,0.03837786226951313,0.003846496605736633
Drama,AIPA w/o clarification,1309,5,0.07883880825057296,0.006417112299465242,0.037764304836534646,0.0028006891142005664
Drama,AIPA w/o persistence,1309,5,0.08082505729564553,0.007781715250265451,0.0369764699633101,0.0037070497445736974
Drama,AIPA (rule policy),1309,5,0.0854087089381207,0.010883424793587854,0.04079963572582616,0.005490384351663896
Drama,AIPA (full),1309,5,0.08021390374331552,0.007279528953137721,0.03651923999030214,0.0032774511230384737
Romance,LTP-only,662,5,0.01027190332326284,0.004207972289179493,0.0036750626542734048,0.0015934179410656353
Romance,STI-only,662,5,0.1299093655589124,0.01037798431257865,0.06438498395371389,0.006981675767623581
Romance,Naive fusion,662,5,0.12779456193353472,0.009093605403802064,0.0623060940288717,0.004214006018234246
Romance,Adaptive fusion,662,5,0.13323262839879155,0.005763983090132603,0.06239894832118342,0.0027564589259210775
Romance,Sequential (GRU),662,5,0.06132930513595166,0.004229607250755288,0.027474552893116733,0.0033870522522597246
Romance,Conversation-aware,662,5,0.11873111782477341,0.013224210651504103,0.056682390145411744,0.008051817348672021
Romance,SASRec,662,5,0.06374622356495468,0.008619542367182542,0.029849820893926134,0.0033795597262392687
Romance,KBRD-style,662,5,0.1283987915407855,0.007583021388526363,0.06006068821410078,0.0023046267031148647
Romance,AIPA w/o relationship,662,5,0.12054380664652568,0.009714764465748352,0.05561798922650425,0.0038545159265000488
Romance,AIPA w/o counterfactual,662,5,0.11691842900302114,0.005109224932111105,0.05641476184961014,0.004471410909718943
Romance,AIPA w/o clarification,662,5,0.11963746223564956,0.010909649598349112,0.05671746221365288,0.006703000304864398
Romance,AIPA w/o persistence,662,5,0.113595166163142,0.017806842330261485,0.05373811881168842,0.010330436300594615
Romance,AIPA (rule policy),662,5,0.12265861027190332,0.01613983128603394,0.057945586007035935,0.007122041065550777
Romance,AIPA (full),662,5,0.1148036253776435,0.01792434679660583,0.053822104812902075,0.010443760478745682
Sci-Fi,LTP-only,789,5,0.12648922686945502,0.026687091889991087,0.07491822708472415,0.012565807654124168
Sci-Fi,STI-only,789,5,0.17465145754119138,0.011599555070872038,0.09972349285712287,0.007257966247678029
Sci-Fi,Naive fusion,789,5,0.16653992395437262,0.005044296259095663,0.09400597819054653,0.0026051166392212517
Sci-Fi,Adaptive fusion,789,5,0.16806083650190112,0.011824490534540535,0.09520101209876589,0.006791862401561567
Sci-Fi,Sequential (GRU),789,5,0.15640050697084917,0.00960572639873076,0.08907711732633754,0.01040416454103781
Sci-Fi,Conversation-aware,789,5,0.17693282636248414,0.014375104566547862,0.10179119479276592,0.006098164674847786
Sci-Fi,SASRec,789,5,0.1444866920152091,0.014737076657793296,0.07559047405412385,0.006496609302959139
Sci-Fi,KBRD-style,789,5,0.16628643852978453,0.011791841165640566,0.08970448061991936,0.008429163675971251
Sci-Fi,AIPA w/o relationship,789,5,0.15842839036755388,0.005780357034723126,0.08934040715465554,0.005956046304081434
