is_synthetic,relationship_label,n,mean_abs_delta_ndcg_LTP,mean_abs_delta_ndcg_STI,mean_delta_ndcg_LTP,mean_delta_ndcg_STI,overlap10_noLTP,overlap10_noSTI,STI_driven,LTP_driven,Jointly_driven,Neither_driven
False,Complement,165,0.01849679675950527,0.04896209095003642,0.0015378276839777244,0.03740371809810414,0.6421212121212121,0.16090909090909092,0.5,0.0,0.5,0.0
False,Conflict,48,0.019738954635189414,0.02984886791950109,0.003822081897549283,0.015855699921714612,0.6416666666666667,0.14166666666666666,0.4895833333333333,0.010416666666666666,0.5,0.0
False,Consistent,514,0.025477582494240217,0.05128602244481696,0.0059129104884147144,0.03524148486886777,0.6221789883268483,0.23754863813229574,0.46206225680933855,0.0038910505836575876,0.5340466926070039,0.0
False,Override,14,0.019422276815673267,0.017857142857142856,-0.01629200889861245,0.017857142857142856,0.7392857142857142,0.09642857142857143,0.5357142857142857,0.0,0.4642857142857143,0.0
False,Uncertain,336,0.011648949732482743,0.050202702191987116,0.00018080397273332482,0.028318007304917243,0.7398809523809524,0.24092261904761905,0.5982142857142857,0.004464285714285714,0.39732142857142855,0.0
True,Conflict,39,0.023325251912061667,0.0681263822805667,0.013796894684370061,0.06753987320942081,0.8320512820512821,0.06282051282051282,0.7307692307692307,0.0,0.2692307692307692,0.0
True,Consistent,47,0.017487157583957212,0.02506603390540449,-0.0037894381607236397,0.011082264059191653,0.5946808510638297,0.24468085106382978,0.5,0.010638297872340425,0.48936170212765956,0.0
True,Override,39,0.025929753810072516,0.13403183710920535,-0.0012600340847954523,0.13403183710920535,0.8871794871794872,0.06282051282051282,0.6666666666666666,0.0,0.3333333333333333,0.0
