subset,n,n_seekers,persistence_k,n_shifts_mean,hit10_full,hit10_without,mean_diff,t_p,wilcoxon_p,perm_p,n_pairs
natural,4472,96,2,32.4,0.11677101967799644,0.11645796064400715,0.00031305903398926656,0.5527029657134792,0.9258677813123408,0.6106946526736632,22360
seekers_with_ge3_sessions,4261,51,2,32.4,0.11626378784322929,0.115935226472659,0.00032856137057028865,0.5527035479170496,0.9240831054180195,0.6266866566716641,21305
tracker_affected,2321,30,2,32.4,0.11719086600603187,0.1165876777251185,0.0006031882809133994,0.5527138619848719,0.8978186510841145,0.623688155922039,11605
