sti_bucket,n,Recall@10,Hit@10,NDCG@10,MRR@10,Recall@20,Hit@20,NDCG@20,MRR@20
1,111,0.14414414414414414,0.14414414414414414,0.0784242309536532,0.058619333619333615,0.18468468468468469,0.18468468468468469,0.08872077096448186,0.061465575610312455
2-3,356,0.08707865168539326,0.08707865168539326,0.045711137402880915,0.033039615658997684,0.1348314606741573,0.1348314606741573,0.05755810533741432,0.03617637588198647
4-6,424,0.09551886792452831,0.09551886792452831,0.058494309661515545,0.047318152890086854,0.13443396226415094,0.13443396226415094,0.06821124074136516,0.04991833611819994
>6,186,0.06720430107526881,0.06720430107526881,0.036384554923286135,0.026956391875746718,0.11559139784946236,0.11559139784946236,0.04867953542337534,0.030365758516038153
