subset,model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
strict,LTP-only,62,2,0.016129032258064516,0.016129032258064516,0.0,0.04032258064516129,0.016129032258064516,0.016129032258064516,0.0,0.04032258064516129,0.006720430107526881,0.006720430107526881,0.0,0.01481854838709678,0.0038402457757296467,0.0038402457757296467,0.0,0.009216589861751152,0.04838709677419355,0.016129032258064516,0.016129032258064516,0.08870967741935484,0.04838709677419355,0.016129032258064516,0.016129032258064516,0.08870967741935484,0.014570432695224303,0.006339446262790608,0.0037644123106967534,0.02675090876550375,0.005849086303245895,0.0035339142087868736,0.0008724768911526127,0.012271454081195168
strict,STI-only,62,2,0.06451612903225806,0.0,0.024193548387096774,0.11290322580645161,0.06451612903225806,0.0,0.024193548387096774,0.11290322580645161,0.029325551310730204,0.006690412316679795,0.011102502551633354,0.05586994461784829,0.019153225806451613,0.008624551971326166,0.005040322580645161,0.04157426075268818,0.14516129032258063,0.016129032258064516,0.09657258064516129,0.20987903225806456,0.14516129032258063,0.016129032258064516,0.09657258064516129,0.20987903225806456,0.04984688650350441,0.010841418058715135,0.030120087236794567,0.08109886985672152,0.024859637737896005,0.009808492646428331,0.010616354875926807,0.04685820320307988
strict,Naive fusion,62,2,0.06451612903225806,0.0,0.016129032258064516,0.12096774193548387,0.06451612903225806,0.0,0.016129032258064516,0.12096774193548387,0.038562149648960646,0.0009291264619972969,0.011672286492809847,0.07691640025478629,0.030443548387096772,0.0010080645161290314,0.007651209677419355,0.06190020161290324,0.11290322580645161,0.0,0.056451612903225805,0.16955645161290325,0.11290322580645161,0.0,0.056451612903225805,0.16955645161290325,0.05115995807660441,0.0012849606777701854,0.021877564115311665,0.08847575263630585,0.034093180564954764,0.0012872991703636906,0.010345796676441837,0.06588951511078527
strict,Adaptive fusion,62,2,0.08064516129032258,0.016129032258064516,0.04032258064516129,0.12903225806451613,0.08064516129032258,0.016129032258064516,0.04032258064516129,0.12903225806451613,0.029752919382519796,0.004327220549037586,0.013091386499707447,0.0493702863276757,0.014836149513568868,0.0012416794674859205,0.006669546850998464,0.02625256016385049,0.0967741935483871,0.0,0.04838709677419355,0.16129032258064516,0.0967741935483871,0.0,0.04838709677419355,0.16129032258064516,0.03394838836983689,0.00013175156172049243,0.01685731187683038,0.05620844801295037,0.01604582693292371,3.200204813108044e-05,0.007219182027649769,0.027357750896057347
strict,Sequential (GRU),62,2,0.04032258064516129,0.008064516129032258,0.008064516129032258,0.07278225806451619,0.04032258064516129,0.008064516129032258,0.008064516129032258,0.07278225806451619,0.01565133838665006,0.003849619777982735,0.0034470596291383696,0.028557524429267817,0.008557347670250896,0.0027329749103942647,0.001594982078853047,0.0165344982078853,0.08064516129032258,0.016129032258064516,0.03225806451612903,0.12903225806451613,0.08064516129032258,0.016129032258064516,0.03225806451612903,0.12903225806451613,0.02590068073145349,0.006024630398140331,0.010404277429643196,0.041526656318161555,0.011394620164781457,0.0034101091560768985,0.003458624988362891,0.019317534504026446
strict,Conversation-aware,62,2,0.04838709677419355,0.0,0.015927419354838712,0.08084677419354844,0.04838709677419355,0.0,0.015927419354838712,0.08084677419354844,0.02354740312318612,0.005273302444256063,0.006218990126650807,0.04432886592556365,0.016061827956989246,0.006787634408602149,0.003203965053763441,0.034632056451612915,0.08870967741935484,0.008064516129032258,0.04032258064516129,0.13709677419354838,0.08870967741935484,0.008064516129032258,0.04032258064516129,0.13709677419354838,0.03371619123398395,0.002964776236193312,0.014427598378412808,0.05660231406166871,0.018837117537244874,0.006013314995700394,0.005438834209791341,0.03650552506173793
strict,SASRec,62,2,0.016129032258064516,0.0,0.0,0.04838709677419355,0.016129032258064516,0.0,0.0,0.04838709677419355,0.011537714178011233,0.004591318080053282,0.0,0.030021824453980422,0.010080645161290322,0.006048387096774193,0.0,0.02620967741935484,0.03225806451612903,0.0,0.008064516129032258,0.07258064516129033,0.03225806451612903,0.0,0.008064516129032258,0.07258064516129033,0.01568571304105775,0.004240237174533189,0.0018984589787632118,0.03519570503661457,0.011261811665037473,0.005763277940697297,0.00044802867383512545,0.02812398175301401
strict,KBRD-style,62,2,0.12096774193548387,0.008064516129032258,0.07258064516129033,0.1774193548387097,0.12096774193548387,0.008064516129032258,0.07258064516129033,0.1774193548387097,0.050180894939646524,0.008652901227822904,0.02800443026962626,0.07572772188026186,0.029217869943676394,0.008685355862775218,0.013767201100870456,0.049677259344598074,0.21774193548387097,0.008064516129032251,0.1532258064516129,0.29052419354838716,0.21774193548387097,0.008064516129032251,0.1532258064516129,0.29052419354838716,0.07498758172832762,0.00474309768099123,0.052747824692599046,0.10726193652251771,0.03622187080316512,0.007713210560758748,0.020752774639721607,0.05972999098286225
strict,AIPA w/o relationship,62,2,0.0967741935483871,0.03225806451612903,0.04838709677419355,0.1532258064516129,0.0967741935483871,0.03225806451612903,0.04838709677419355,0.1532258064516129,0.047092478579927224,0.009006137996914541,0.02153734429484583,0.07999290891157156,0.03223566308243728,0.0026657706093189976,0.012475918458781361,0.06064684139784947,0.1532258064516129,0.02419354838709678,0.0967741935483871,0.22580645161290322,0.1532258064516129,0.02419354838709678,0.0967741935483871,0.22580645161290322,0.061442270361720244,0.006820286950377969,0.034912970983485496,0.09656814598137729,0.036224874203938925,0.001987659098727213,0.016045807984342575,0.06480788114655493
strict,AIPA w/o counterfactual,62,2,0.0967741935483871,0.03225806451612903,0.04838709677419355,0.1532258064516129,0.0967741935483871,0.03225806451612903,0.04838709677419355,0.1532258064516129,0.046995985278749056,0.008909644695736369,0.02153734429484583,0.07989641561039337,0.03214605734767025,0.002576164874551973,0.012473678315412186,0.060557235663082444,0.14516129032258066,0.03225806451612904,0.08870967741935484,0.20987903225806456,0.14516129032258066,0.03225806451612904,0.08870967741935484,0.20987903225806456,0.05890414317609019,0.008658666658656736,0.03107638731912723,0.09377176607896434,0.03524587678874606,0.002373372948500284,0.014885003166518447,0.06395233294930876
